Datum;Tijd (CEST);Locatie;Golfhoogte in cm
30-9-2023;12:10;Platform HKZA;63
30-9-2023;12:20;Platform HKZA;64
30-9-2023;12:30;Platform HKZA;60
30-9-2023;12:40;Platform HKZA;59
30-9-2023;12:50;Platform HKZA;59
30-9-2023;13:00;Platform HKZA;60
30-9-2023;13:10;Platform HKZA;61
30-9-2023;13:20;Platform HKZA;61
30-9-2023;13:30;Platform HKZA;64
30-9-2023;13:40;Platform HKZA;65
30-9-2023;13:50;Platform HKZA;66
30-9-2023;14:00;Platform HKZA;68
30-9-2023;14:10;Platform HKZA;66
30-9-2023;14:20;Platform HKZA;63
30-9-2023;14:30;Platform HKZA;65
30-9-2023;14:40;Platform HKZA;67
30-9-2023;14:50;Platform HKZA;69
30-9-2023;15:00;Platform HKZA;75
30-9-2023;15:10;Platform HKZA;75
30-9-2023;15:20;Platform HKZA;76
30-9-2023;15:30;Platform HKZA;80
30-9-2023;15:40;Platform HKZA;79
30-9-2023;15:50;Platform HKZA;78
30-9-2023;16:00;Platform HKZA;83
30-9-2023;16:10;Platform HKZA;84
30-9-2023;16:20;Platform HKZA;81
30-9-2023;16:30;Platform HKZA;79
30-9-2023;16:40;Platform HKZA;75
30-9-2023;16:50;Platform HKZA;74
30-9-2023;17:00;Platform HKZA;78
30-9-2023;17:10;Platform HKZA;82
30-9-2023;17:20;Platform HKZA;79
30-9-2023;17:30;Platform HKZA;74
30-9-2023;17:40;Platform HKZA;74
30-9-2023;17:50;Platform HKZA;74
30-9-2023;18:00;Platform HKZA;69
30-9-2023;18:10;Platform HKZA;69
30-9-2023;18:20;Platform HKZA;71
30-9-2023;18:30;Platform HKZA;67
30-9-2023;18:40;Platform HKZA;67
30-9-2023;18:50;Platform HKZA;67
30-9-2023;19:00;Platform HKZA;68
30-9-2023;19:10;Platform HKZA;69
30-9-2023;19:20;Platform HKZA;67
30-9-2023;19:30;Platform HKZA;68
30-9-2023;19:40;Platform HKZA;66
30-9-2023;19:50;Platform HKZA;64
30-9-2023;20:00;Platform HKZA;65
30-9-2023;20:10;Platform HKZA;67
30-9-2023;20:20;Platform HKZA;67
30-9-2023;20:30;Platform HKZA;64
30-9-2023;20:40;Platform HKZA;62
30-9-2023;20:50;Platform HKZA;60
30-9-2023;21:00;Platform HKZA;57
30-9-2023;21:10;Platform HKZA;58
30-9-2023;21:20;Platform HKZA;58
30-9-2023;21:30;Platform HKZA;60
30-9-2023;21:40;Platform HKZA;59
30-9-2023;21:50;Platform HKZA;57
30-9-2023;22:00;Platform HKZA;57
30-9-2023;22:10;Platform HKZA;58
30-9-2023;22:20;Platform HKZA;57
30-9-2023;22:30;Platform HKZA;56
30-9-2023;22:40;Platform HKZA;57
30-9-2023;22:50;Platform HKZA;56
30-9-2023;23:00;Platform HKZA;54
